Subject,Session,Trial,Trigger,Vividness
s001,session_1,1,27,5
s001,session_1,2,37,5
s001,session_1,3,24,5
s001,session_1,4,29,5
s001,session_1,5,34,5
s001,session_1,6,22,5
s001,session_1,7,33,4
s001,session_1,8,26,5
s001,session_1,9,23,5
s001,session_1,10,42,5
s001,session_1,11,25,5
s001,session_1,12,44,5
s001,session_1,13,21,5
s001,session_1,14,25,5
s001,session_1,15,30,5
s001,session_1,16,38,5
s001,session_1,17,32,5
s001,session_1,18,26,5
s001,session_1,19,31,5
s001,session_1,20,47,5
s001,session_1,21,23,5
s001,session_1,22,32,5
s001,session_1,23,23,5
s001,session_1,24,22,5
s001,session_1,25,23,5
s001,session_1,26,35,5
s001,session_1,27,21,5
s001,session_1,28,25,5
s001,session_1,29,21,5
s001,session_1,30,32,5
s001,session_1,31,29,5
s001,session_1,32,45,5
s001,session_1,33,23,5
s001,session_1,34,27,5
s001,session_1,35,35,5
s001,session_1,36,33,5
s001,session_1,37,40,5
s001,session_1,38,23,5
s001,session_1,39,24,5
s001,session_1,40,23,5
s001,session_1,41,28,5
s001,session_1,42,28,5
s001,session_1,43,30,5
s001,session_1,44,31,5
s001,session_1,45,46,5
s001,session_1,46,22,5
s001,session_1,47,31,5
s001,session_1,48,41,5
s001,session_1,49,36,5
s001,session_1,50,33,5
s001,session_1,51,35,5
s001,session_1,52,25,5
s001,session_1,53,23,5
s001,session_1,54,35,5
s001,session_1,55,27,5
s001,session_1,56,39,5
s001,session_1,57,36,5
s001,session_1,58,33,5
s001,session_1,59,29,5
s001,session_1,60,23,5
s001,session_1,61,30,5
s001,session_1,62,23,3
s001,session_1,63,41,5
s001,session_1,64,25,5
s001,session_1,65,26,5
s001,session_1,66,40,5
s001,session_1,67,34,5
s001,session_1,68,31,5
s001,session_1,69,26,5
s001,session_1,70,23,5
s001,session_1,71,27,4
s001,session_1,72,47,5
s001,session_1,73,24,5
s001,session_1,74,38,5
s001,session_1,75,21,5
s001,session_1,76,42,5
s001,session_1,77,28,5
s001,session_1,78,29,5
s001,session_1,79,34,5
s001,session_1,80,23,5
s001,session_1,81,23,5
s001,session_1,82,24,5
s001,session_1,83,44,5
s001,session_1,84,22,5
s001,session_1,85,40,5
s001,session_1,86,28,5
s001,session_1,87,30,5
s001,session_1,88,24,5
s001,session_1,89,27,5
s001,session_1,90,43,5
s001,session_1,91,22,5
s001,session_1,92,21,5
s001,session_1,93,32,5
s001,session_1,94,32,5
s001,session_1,95,28,5
s001,session_1,96,46,5
s001,session_1,97,37,5
s001,session_1,98,31,5
s001,session_1,99,33,5
s001,session_1,100,45,5
s001,session_1,101,22,5
s001,session_1,102,21,5
s001,session_1,103,21,5
s001,session_1,104,37,5
s001,session_1,105,22,5
s001,session_1,106,36,5
s001,session_1,107,26,5
s001,session_1,108,26,5
s001,session_1,109,35,5
s001,session_1,110,29,5
s001,session_1,111,21,5
s001,session_1,112,27,5
s001,session_1,113,45,5
s001,session_1,114,31,5
s001,session_1,115,42,5
s001,session_1,116,23,5
s001,session_1,117,23,5
s001,session_1,118,30,5
s001,session_1,119,33,5
s001,session_1,120,34,5
s001,session_1,121,25,5
s001,session_1,122,29,5
s001,session_1,123,38,5
s001,session_1,124,28,5
s001,session_1,125,47,5
s001,session_1,126,23,5
s001,session_1,127,46,5
s001,session_1,128,21,5
s001,session_1,129,23,5
s001,session_1,130,39,5
s001,session_1,131,23,5
s001,session_1,132,24,5
s001,session_1,133,32,5
s001,session_1,134,44,5
s001,session_1,135,34,5
s001,session_1,136,43,5
s001,session_1,137,22,5
s001,session_1,138,31,5
s001,session_1,139,32,5
s001,session_1,140,23,5
s001,session_1,141,25,5
s001,session_1,142,31,5
s001,session_1,143,34,5
s001,session_1,144,46,5
s001,session_1,145,40,5
s001,session_1,146,23,5
s001,session_1,147,29,5
s001,session_1,148,41,5
s001,session_1,149,29,5
s001,session_1,150,41,5
s001,session_1,151,23,5
s001,session_1,152,45,5
s001,session_1,153,27,5
s001,session_1,154,27,5
s001,session_1,155,35,5
s001,session_1,156,37,5
s001,session_1,157,28,5
s001,session_1,158,30,5
s001,session_1,159,30,5
s001,session_1,160,42,5
s001,session_1,161,22,5
s001,session_1,162,28,5
s001,session_1,163,44,5
s001,session_1,164,24,5
s001,session_1,165,22,5
s001,session_1,166,36,5
s001,session_1,167,47,5
s001,session_1,168,32,5
s001,session_1,169,26,5
s001,session_1,170,22,5
s001,session_1,171,38,5
s001,session_1,172,24,5
s001,session_1,173,23,5
s001,session_1,174,33,5
s001,session_1,175,23,5
s001,session_1,176,21,5
s001,session_1,177,21,5
s001,session_1,178,21,5
s001,session_1,179,25,5
s001,session_1,180,23,5
s001,session_1,181,43,5
s001,session_1,182,35,5
s001,session_1,183,33,5
s001,session_1,184,39,5
s001,session_1,185,22,5
s001,session_1,186,30,5
s001,session_1,187,26,5
s001,session_1,188,34,5
s001,session_1,189,43,5
s001,session_1,190,39,5
s001,session_1,191,34,5
